Dr. Shivaprasad C,shivaprasad-c-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Sharada Shekar,dr-mrs-sharda-shekar-internal-medicine,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Vivek M S,dr-vivek-m-s-diabetologist,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Suma G K,dr-suma-g-k-ayurvedic-endocrinologist-internal-medicine-specialist,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Rajesh K,rajesh-k-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Venkataramana,venkataramana-gynecologist-obstetrician-general-surgeon,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Karunesh Kumar H S,karunesh-kumar-h-s-diabetologist,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Suma Raju,dr-suma-raju-nephrologist-nephrologist-nephrologist,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Shashidhar M,dr-shashidhara-g-internal-medicine,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Srinath A,dr-srinath-a-endocrinologist-3-endocrinologist,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Sujith M S,sujith-m-s-internal-medicine,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Sowbhagya,dr-sowbhagya-3-dermatologist,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Jagadish Chandra,dr-jagadish-chandra-internal-medicine,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Dilip Joseph Wilson,dr-dilip-joseph-wilson-family-physician-family,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Diptee,dr-diptee-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Swarna Das,dr-swarna-das-internal-medicine,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Aravind G. M.,dr-aravind-g-m-internal-medicine,./FinalData\Bangalore\General Physician\,General Physician,
Dr. SS Kumar,dr-ss-kumar-internal-medicine,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Teena Thomas,dr-teena-thomas-gynecologist-obstetrician-gynecologist-obstetrician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Vidya. S,ms-1-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Dwijendra Prasad,dwijendra-prasad-diabetologist,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Kannan Ramaswamy,dr-kannan-ramaswamy-pediatrician-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Shilpa Singi,dr-shilpa-singi-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Ashok.M.L,dr-ashok-m-l-1-diabetologist,./FinalData\Bangalore\General Physician\,General Physician,
Dr. S M Fayaz,dr-s-m-fayaz-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. N Praveen Kumar,dr-n-praveen-kumar-cardiologist,./FinalData\Bangalore\General Physician\,General Physician,
Dr. S. Ranganath,dr-s-ranganath-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Anil Kumar Jain,anil-kumar-jain-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Basavaraj GS,basavaraj-gs-endocrinologist,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Bhargavi Botlagunta,bhargavi-botlagunta-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Shashikant,shashikant-2-psychologist,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Deepa Rawal,dr-deepa-rawal-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Chhavi Goyal Mehra,chhavi-mehra-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Vineesh S,dr-vineesh-1-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Abhinav Salian,dr-abhinav-salian-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Anusuya Shetty,dr-anusuya-shetty-internal-medicine,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Ravi Shankerji Kesari,ravi-shankerji-kesari-internal-medicine,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Purnima K,dr-purnima-k-general-physician,./FinalData\Bangalore\General Physician\,,
Dr. Jeevan B,jeevan-b-general-physician-1,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Raja Selvarajan,dr-raja-selvarajan-diabetologist,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Tejeswini Deepak,dr-tejeswini-deepak-diabetologist,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Yeshwanth H,yeshwanth-h-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Rajendra Prasad,dr-rajendra-prasad-1-internal-medicine,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Mahesh Chandra Pai,dr-mahesh-chandra-pai-internal-medicine,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Rupashree S P,dr-rupashree-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Sachin,sachin-56-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Rakshith Shetty,dr-rakshith-shetty-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. K Sumathi,dr-k-sumathi-endocrinologist,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Bindu suresh,dr-bindu-suresh-general-physician-2,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Jyothika V,dr-jyothika-v-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Jayashankar C A,dr-jayashankar-c-a-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
